PLANT EQPT STATE - PEC-19,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Loc,C Vehs (26),,,,,,,,,,,Plt Eqpt (14),,,,TO&E,,"Total
STATE OF A VEHICLES LOCATION WISE PAK ENG COY-1,,,,,,,,,,,,,,,,,,,,,
Ser,BA No,UN No,Make & Type,Modal,Total,Loc,Remarks,,,,,,,,,,,,,,
1,20AT0461,20375,APC Wheeled PUMA Infantry Carrier - armed (Class-I),2016,5,KB,,,,,,,,,,,,,,,
2,20AT0462,20376,APC Wheeled PUMA Infantry Carrier - armed (Class-I),2016,,KB,,,,,,,,,,,,,,,
3,20AT0463,20377,APC Wheeled PUMA Infantry Carrier - armed (Class-I),2016,,KB,,,,,,,,,,,,,,,
4,20AT0464,20378,APC Wheeled PUMA Infantry Carrier - armed (Class-I),2016,,KB,,,,,,,,,,,,,,,
5,20AT2064,20423,APCs Wheeled Infantry Carrier Armed (Class-I),2016,,KB,,,,,,,,,,,,,,,
6,22SW0823,20379,MRAP Mine Resistant Ambush Protected Vehicle,2018,1,KB,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
STATE OF B VEHICLES  LOCATION WISE - PAK ENG COY-1,,,,,,,,,,,,,,,,,,,,,
Ser,UN No,Make & Type,,Total,Loc,Remarks,,,,,,,,,,,,,,,
1,UN-20250,Toyota Hilux Pickup Double Cabin,2012,1,KB,,,,,,,,,,,,,,,,
2,UN-20418,Jeep (4X4) With Military Radio,2020,6,Bangui,,,,,,,,,,,,,,,,
3,UN-20419,Jeep (4X4) With Military Radio,2020,,KB,,,,,,,,,,,,,,,,
4,UN-20426,Jeep (4X4) With Military Radio,2016,,Bangui,,,,,,,,,,,,,,,,
5,UN-20427,Jeep (4X4) With Military Radio,2013,,KB,,,,,,,,,,,,,,,,
6,UN-20428,Jeep (4X4) With Military Radio,2012,,Bangui,,,,,,,,,,,,,,,,
7,UN-20429,Jeep (4X4) With Military Radio,2016,,"N,DELE",,,,,,,,,,,,,,,,
8,UN-20195,Trk 1/4 Ton Jeep 4x4 RK JMR,2004,1,KB,,,,,,,,,,,,,,,,
9,UN-20424,Jeep (4X4) With Military Radio,2013,2,Bangui,,,,,,,,,,,,,,,,
10,UN-20425,Jeep (4X4) With Military Radio,2013,,Bangui,,,,,,,,,,,,,,,,
11,UN-20191,Trk ¼ Ton Land Rover Defender 90 GS,2011,7,KB,,,,,,,,,,,,,,,,
12,UN-20192,Trk ¼ Ton Land Rover Defender 90 GS,2011,,KB,,,,,,,,,,,,,,,,
13,UN-20137,Trk ¼ Ton Land Rover Defender 90 GS,2011,,KB,,,,,,,,,,,,,,,,
14,UN-20011,Trk ¼ Ton Land Rover Defender 90 GS,2011,,KB,,,,,,,,,,,,,,,,
15,UN-20136,Trk ¼ Ton Land Rover Defender 90 GS,1998,,KB,,,,,,,,,,,,,,,,
16,UN-20194,Trk ¼ Ton Land Rover Defender 90 GS,2005,,KB,,,,,,,,,,,,,,,,
17,UN-20193,Trk ¼ Ton Land Rover Defender 90 GS,2010,,KB,,,,,,,,,,,,,,,,
18,UN-20135,Trk 1/4 Ton Land Rover Defender  Amb,2003,3,KB,,,,,,,,,,,,,,,,
19,UN-20143,Trk 1/4 Ton Land Rover Defender  Amb,2006,,KB,,,,,,,,,,,,,,,,
20,UN-20004,Trk 1/4  Ton Land Rover Defender Amb 4 Stretchure,2010,,KB,,,,,,,,,,,,,,,,
21,UN-20140,Trk 1 Ton Land Rover Defender 110 Shop Set,2007,2,KB,,,,,,,,,,,,,,,,
22,UN-20139,Trk 1 Ton Land Rover Defender 110 Shop Set,2007,,KB,,,,,,,,,,,,,,,,
23,UN-20315,Trk 2.5 Ton Hino Shop Set,1983,2,KB,,,,,,,,,,,,,,,,
24,UN-20012,Trk 5 Ton Hino Shop Set,2007,,KB,,,,,,,,,,,,,,,,
25,UN-20005,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,8,KB,,,,,,,,,,,,,,,,
26,UN-20313,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,,KB,,,,,,,,,,,,,,,,
27,UN-20196,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,,KB,,,,,,,,,,,,,,,,
28,UN-20197,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,,"N,DELE",,,,,,,,,,,,,,,,
29,UN-20198,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2009,,"N,DELE",,,,,,,,,,,,,,,,
30,UN-20199,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,,Grimari,,,,,,,,,,,,,,,,
31,UN-20200,Trk 5 Ton Hino (4x4) GS Single Rear Wh,2013,,KB,,,,,,,,,,,,,,,,
32,UN-20437,Truck Utility Cargo (5 Tons) - ILO Over 5 Tons ,2020,,KB,,,,,,,,,,,,,,,,
33,UN-20314,Trk 5 Ton Hino Water Bowzer (4500 lits),2005,6,Grimari,,,,,,,,,,,,,,,,
34,UN-20149,Trk 5 Ton Hino Water Bowzer (4500 lits),2010,,KB,,,,,,,,,,,,,,,,
35,UN-20120,Trk 5 Ton Hino Water Bowzer (4500 lits),2005,,KB,,,,,,,,,,,,,,,,
36,UN-20203,Trk 5 Ton Hino Water Bowzer (4500 lits),2010,,KB,,,,,,,,,,,,,,,,
37,UN-20204,Trk 5 Ton Hino Water Bowzer (4500 lits),2005,,KB,,,,,,,,,,,,,,,,
38,UN-20006,Trk 5 Ton Hino Water Bowzer (4500 lits),2010,,"N,DELE",,,,,,,,,,,,,,,,
39,UN-20150,Trk 5 Ton Hino Fuel Bowzer  (4500 lits),2005,4,Grimari,,,,,,,,,,,,,,,,
40,UN-20151,Trk 5 Ton Hino Fuel Bowzer  (4500 lits),2005,,KB,,,,,,,,,,,,,,,,
41,UN-20013,Trk 5 Ton Hino Fuel Bowzer  (4500 lits),2005,,KB,,,,,,,,,,,,,,,,
42,UN-20436,"Truck, Tanker (Upto 5,000 Litres)",2012,,KB,,,,,,,,,,,,,,,,
43,UN-20434,"Truck, Sewer Cleaning",2017,1,KB,,,,,,,,,,,,,,,,
44,UN-20420,"Truck, Refrigerator (Under 20 Feet)",2021,3,KB,,,,,,,,,,,,,,,,
45,UN-20421,"Truck, Refrigerator (Under 20 Feet)",2021,,KB,,,,,,,,,,,,,,,,
46,UN-20422,"Truck, Refrigerator (Under 20 Feet)",2021,,KB,,,,,,,,,,,,,,,,
47,UN-20121,Trk 7.5 Ton IVECO LRV ,2005,1,KB,,,,,,,,,,,,,,,,
48,UN-20147,Trk 7.5 Ton IVECO LRV ,2003,1,KB,,,,,,,,,,,,,,,,
49,UN-20206,Dump Trk 15 Ton Mitsubishi Fuso,2014,10,KB,,,,,,,,,,,,,,,,
50,UN-20146,Dump Trk 15 Ton Mitsubishi Fuso,2014,,KB,,,,,,,,,,,,,,,,
51,UN-20119,Dump Trk 15 Ton Mitsubishi Fuso,2014,,"N,DELE",,,,,,,,,,,,,,,,
52,UN-20144,Dump Trk 15 Ton Mitsubishi Fuso,2014,,Sibut,,,,,,,,,,,,,,,,
53,UN-20145,Dump Trk 15 Ton Mitsubishi Fuso,2014,,"N,DELE",,,,,,,,,,,,,,,,
54,UN-20207,Dump Trk 15 Ton Mitsubishi Fuso,2014,,Batagafu,,,,,,,,,,,,,,,,
55,UN-20208,Dump Trk 15 Ton Mitsubishi Fuso,2014,,"N,DELE",,,,,,,,,,,,,,,,
56,UN-20209,Dump Trk 15 Ton Mitsubishi Fuso,2014,,"N,DELE",,,,,,,,,,,,,,,,
57,UN-20210,Dump Trk 15 Ton Mitsubishi Fuso,2014,,KB,,,,,,,,,,,,,,,,
58,UN-20211,Dump Trk 15 Ton Mitsubishi Fuso,2014,,Grimari,,,,,,,,,,,,,,,,
59,UN-20316,Truck Tractor Low Bed,2011,2,"N,DELE",,,,,,,,,,,,,,,,
60,UN-20317,Truck Tractor Low Bed,2011,,KB,,,,,,,,,,,,,,,,
61,UN-20318,Truck Tractor Heavy Eqpt,2011,2,KB,,,,,,,,,,,,,,,,
62,UN-20319,Truck Tractor Heavy Eqpt,2011,,Grimari,,,,,,,,,,,,,,,,
A VEH ,,,,,,,,,,,,,,,,,,,,,
63,20375,APC Wheeled PUMA Infantry Carrier - armed (Class-I),,5,KB,,,,,,,,,,,,,,,,
64,20376,APC Wheeled PUMA Infantry Carrier - armed (Class-I),,,KB,,,,,,,,,,,,,,,,
65,20377,APC Wheeled PUMA Infantry Carrier - armed (Class-I),,,KB,,,,,,,,,,,,,,,,
66,20378,APC Wheeled PUMA Infantry Carrier - armed (Class-I),,,KB,,,,,,,,,,,,,,,,
67,20423,APCs Wheeled Infantry Carrier Armed (Class-I),,,KB,,,,,,,,,,,,,,,,
68,20379,MRAP Mine Resistant Ambush Protected Vehicle,,1,KB,,,,,,,,,,,,,,,,
TLRs,,,,,,,,,,,,,,,,,,,,,
69,UN-20320,Fuel Tlr 3500 litre,2006,2,KB,,,,,,,,,,,,,,,,
70,UN-20321,Fuel Tlr 3500 litre,2006,,"N,DELE",,,,,,,,,,,,,,,,
71,UN-20430,"Fuel Tlr (2,000-7,000 litres)",2014,3,KB,,,,,,,,,,,,,,,,
72,UN-20431,"Fuel Tlr (2,000-7,000 litres)",2014,,KB,,,,,,,,,,,,,,,,
73,UN-20432,"Fuel Tlr (2,000-7,000 litres)",2014,,KB,,,,,,,,,,,,,,,,
74,UN 20335,Heavy Equipment Tlr,2011,2,Grimari,,,,,,,,,,,,,,,,
75,UN 20336,Heavy Equipment Tlr,2011,,KB,,,,,,,,,,,,,,,,
76,UN 20333,Lowbed Tlr 20-40 Tons,2011,2,KB,,,,,,,,,,,,,,,,
77,UN 20334,Lowbed Tlr 20-40 Tons,2011,,"N,DELE",,,,,,,,,,,,,,,,
78,UN-20322,Water Tlr 3500 litre,2006,2,"N,DELE",,,,,,,,,,,,,,,,
79,UN-20323,Water Tlr 3500 litre,2006,,KB,,,,,,,,,,,,,,,,
80,UN-20433,"Water Tlr (2,000-7,000 litres)",2017,2,KB,,,,,,,,,,,,,,,,
81,UN-20435,"Water Tlr (2,000-7,000 litres)",2017,,KB,,,,,,,,,,,,,,,,
82,-,Fuel Storage Tank,-,2,KB,,,,,,,,,,,,,,,,
83,-,Fuel Storage Tank,-,,KB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
STATE OF C VEHICLEs LOCATION WISE PAK ENG COY-1,,,,,,,,,,,,,,,,,,,,,
Ser,UN No,Make & Type,,Total,Loc,Remarks,,,,,,,,,,,,,,,
1,UN-20213,FE Loader,2007,3,KB,.,,,,,,,,,,,,,,,
2,UN-20212,FE Loader,2007,,N'DELE,,,,,,,,,,,,,,,,
3,UN-20442,FE Loader,2020,,KB,,,,,,,,,,,,,,,,
4,UN-20328,Fork Lifter 7 ton,2006,4,KB,,,,,,,,,,,,,,,,
5,UN-20221,Fork Lifter 7 ton,2006,,KB,,,,,,,,,,,,,,,,
6,UN-20101,Fork Lifter 7 ton,2006,,KB,,,,,,,,,,,,,,,,
7,UN-20220,Fork Lifter 15 ton,2006,,KB,,,,,,,,,,,,,,,,
8,UN-20215,Excavator,2014,3,KB,,,,,,,,,,,,,,,,
9,UN-20214,Excavator,2014,, Grimari,,,,,,,,,,,,,,,,
10,UN-20441,Excavator,2014,,N'DELE,,,,,,,,,,,,,,,,
11,UN-20325,Dozer D-85,2014,4,N'DELE,,,,,,,,,,,,,,,,
12,UN-20217,Dozer D-85,2014,, Grimari,,,,,,,,,,,,,,,,
13,UN-20327,Dozer D-40,1983,,KB,,,,,,,,,,,,,,,,
14,UN-20326,Dozer D-41,1986,,KB,,,,,,,,,,,,,,,,
15,UN-20216,Kato Crane 25 Ton ,2008,4,sibut,,,,,,,,,,,,,,,,
16,UN-20324,Kato Crane 25 Ton ,2011,,KB,,,,,,,,,,,,,,,,
17,UN-20127,Kato Crane 25 Ton ,2007,,Batagafo,,,,,,,,,,,,,,,,
18,UN-20219,Kato Crane 20 Ton ,1983,,KB,,,,,,,,,,,,,,,,
19,UN-20312,Motor Grader,2007,3, Grimari,,,,,,,,,,,,,,,,
20,UN-20218,Motor Grader,2007,,KB,,,,,,,,,,,,,,,,
21,UN-20443,Motor Grader,2006,,N'DELE,,,,,,,,,,,,,,,,
22,UN-20240,Rd Roller,2014,2,N'DELE,,,,,,,,,,,,,,,,
23,UN-20241,Rd Roller,2014,,Grimari,,,,,,,,,,,,,,,,
24,UN-20438,Tractor,1990,3,N'DELE,,,,,,,,,,,,,,,,
25,UN-20439,Tractor with  Bucket,2006,,KB,,,,,,,,,,,,,,,,
26,UN-20440,Tractor with  Bucket,2006,,KB,,,,,,,,,,,,,,,,
Plt Eqpt,,,,,,,,,,,,,,,,,,,,,
27,UN20223,Compressor  Tlr,2,2,KB,,,,,,,,,,,,,,,,
28,UN20224,Compressor  Tlr,,,KB,,,,,,,,,,,,,,,,
29,UN-20446,"Tlr FLOODLIGHT SET WITH GENERATORS (4 LIGHT 9 M POLE, 7KW GENERATOR)",4,4,KB,,,,,,,,,,,,,,,,
30,UN-20447,"Tlr FLOODLIGHT SET WITH GENERATORS (4 LIGHT 9 M POLE, 7KW GENERATOR)",,,KB,,,,,,,,,,,,,,,,
31,UN-20448,"Tlr FLOODLIGHT SET WITH GENERATORS (4 LIGHT 9 M POLE, 7KW GENERATOR)",,,KB,,,,,,,,,,,,,,,,
32,UN-20449,"Tlr FLOODLIGHT SET WITH GENERATORS (4 LIGHT 9 M POLE, 7KW GENERATOR)",,,KB,,,,,,,,,,,,,,,,
33,136231071,Welding Plt,,2,KB,,,,,,,,,,,,,,,,
34,13115027071,Welding Plt,,,KB,,,,,,,,,,,,,,,,
35,496,Conc Mix Machine,,6,KB,,,,,,,,,,,,,,,,
36,882,Conc Mix Machine,,,KB,,,,,,,,,,,,,,,,
37,0910FS,Conc Mix Machine,,,KB,,,,,,,,,,,,,,,,
38,0910FT,Conc Mix Machine,,,KB,,,,,,,,,,,,,,,,
39,20444,Conc Mix Machine,,,KB,,,,,,,,,,,,,,,,
40,23977,Conc Mix Machine,,,,,,,,,,,,,,,,,,,
TO&E Store,,,,,,,,,,,,,,,,,,,,,
41,,Conc Vib,,3,KB,,,,,,,,,,,,,,,,
42,,Conc Vib,,,,,,,,,,,,,,,,,,,
43,,Conc Vib,,,,,,,,,,,,,,,,,,,
44,,Conc Cutter,,2,KB,,,,,,,,,,,,,,,,
45,,Conc Cutter,,,KB,,,,,,,,,,,,,,,,
